Each student picks 15 choices --
140 Students
180 total unique placements available (number of units is unknown)
HI - 10 / unit
MED - 2 / unit
LOW - 1 / unit
YOU NEED ANOTHER TABLE THAT HAS THE NUMBER OF AVAILBLE PLACEMENTS PER UNIT
MAKE THIS TABLE FAIRLY HECTIC

HI - 40 selections were made for the most desirable unit
MEDIAN - 20 selections made for the median desired unit
LOW - 4 selections made for least desired unit
Unit Id     Number of times selected        Number availalable [UNKNOWN YET]
            (adds up to 140 x 15 = 2100)
1	40
2	37
3	35
4	33
5	31
6	30
7	29
8	29
9	28
10	28
11	28
12	27
13	27
14	27
15	27
16	26
17	26
18	26
19	26
20	25
21	25
22	25
23	25
24	25
25	24
26	24
27	24
28	24
29	24
30	23
31	23
32	23
33	23
34	23
35	22
36	22
37	22
38	22
39	22
40	22
41	21
42	21
43	21
44	21
45	21
46	21
47	20
48	20
49	20
50	20
51	20
52	20
53	20
54	20
55	19
56	19
57	19
58	19
59	19
60	19
61	19
62	19
63	18
64	18
65	18
66	18
67	18
68	18
69	18
70	18
71	18
72	17
73	17
74	17
75	16
76	16
77	16
78	16
79	16
80	15
81	15
82	15
83	15
84	15
85	14
86	14
87	14
88	14
89	13
90	13
91	13
92	13
93	12
94	12
95	12
96	11
97	11
98	11
99	10
100	10
101	9
102	8
103	7
104	6
105	5
106	4
107	3
108	2
109	1







Selections made:
Unit 1: 40
Unit n/2: 20
Unit n: 4
